Point ID,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,k,nut,omega,p
134,0.192379,0.05,0,0.198771,0.298037,-1.24E-06,0,0.298037,0.00329806,0,87982,-2.17278
133,0.194648,0.05,0,0.200967,0.29794,-7.64E-07,0,0.29794,0.00329112,0,87982,-2.17117
132,0.196932,0.05,0,0.20318,0.297832,-4.35E-07,0,0.297832,0.00328413,0,87982,-2.1697
131,0.199232,0.05,0,0.20541,0.297715,-2.08E-07,0,0.297715,0.00327706,0,87982,-2.16837
130,0.201548,0.05,0,0.207658,0.297593,-2.36E-07,0,0.297593,0.00326998,0,87982,-2.16717
129,0.203881,0.05,0,0.209922,0.297467,-1.37E-07,0,0.297467,0.00326288,0,87981.9,-2.16611
128,0.206229,0.05,0,0.212204,0.297338,-6.12E-07,0,0.297338,0.00325584,0,87981.9,-2.16519
127,0.208594,0.05,0,0.214503,0.297208,-4.98E-07,0,0.297208,0.00324879,0,87981.9,-2.16443
126,0.210976,0.05,0,0.21682,0.297069,-5.07E-07,0,0.297069,0.00324167,0,87981.8,-2.16382
125,0.213374,0.05,0,0.219154,0.296921,-8.67E-07,0,0.296921,0.00323449,0,87981.8,-2.16334
124,0.21579,0.05,0,0.221506,0.296771,-1.67E-06,0,0.296771,0.00322738,0,87981.8,-2.16302
123,0.218221,0.05,0,0.223876,0.296618,-1.30E-06,0,0.296618,0.00322035,0,87981.8,-2.16285
122,0.22067,0.05,0,0.226264,0.296452,-5.85E-07,0,0.296452,0.00321315,0,87981.8,-2.16283
121,0.223137,0.05,0,0.22867,0.296286,-2.04E-06,0,0.296286,0.00320599,0,87981.7,-2.16293
120,0.22562,0.05,0,0.231094,0.296127,-2.53E-06,0,0.296127,0.00319902,0,87981.7,-2.16319
119,0.228121,0.05,0,0.233536,0.295969,-2.51E-06,0,0.295969,0.00319207,0,87981.7,-2.16362
118,0.230639,0.05,0,0.235996,0.295806,-2.95E-06,0,0.295806,0.00318504,0,87981.7,-2.1642
117,0.233175,0.05,0,0.238475,0.295641,-3.67E-06,0,0.295641,0.00317792,0,87981.6,-2.16494
116,0.235728,0.05,0,0.240972,0.295473,-4.32E-06,0,0.295473,0.00317064,0,87981.6,-2.16585
115,0.238299,0.05,0,0.243488,0.295296,-4.78E-06,0,0.295296,0.00316311,0,87981.5,-2.16694
114,0.240889,0.05,0,0.246023,0.29511,-5.10E-06,0,0.29511,0.00315527,0,87981.5,-2.16822
113,0.243496,0.05,0,0.248577,0.294909,-5.38E-06,0,0.294909,0.003147,0,87981.5,-2.16968
112,0.246122,0.05,0,0.251149,0.294701,-6.04E-06,0,0.294701,0.00313845,0,87981.5,-2.17134
111,0.248766,0.05,0,0.253741,0.294465,-4.47E-06,0,0.294465,0.00312908,0,87981.4,-2.17323
110,0.251428,0.05,0,0.256352,0.294208,-5.99E-06,0,0.294208,0.00311904,0,87981.4,-2.17532
109,0.25411,0.05,0,0.258982,0.293934,-6.77E-06,0,0.293934,0.00310851,0,87981.3,-2.17766
108,0.256809,0.05,0,0.261632,0.293618,-5.59E-06,0,0.293618,0.00309687,0,87981.3,-2.18024
107,0.259528,0.05,0,0.264301,0.293252,-6.35E-06,0,0.293252,0.00308392,0,87981.2,-2.18303
106,0.262266,0.05,0,0.266989,0.292877,-8.77E-06,0,0.292877,0.00307053,0,87981.2,-2.18605
105,0.265023,0.05,0,0.269698,0.292498,-9.37E-06,0,0.292498,0.00305688,0,87981.2,-2.18939
104,0.267799,0.05,0,0.272427,0.292033,-7.12E-06,0,0.292033,0.00304128,0,87981.1,-2.19307
103,0.270594,0.05,0,0.275175,0.291506,-8.36E-06,0,0.291506,0.00302409,0,87981,-2.19695
102,0.276,0.05,0,0.280492,0.290427,-8.23E-06,0,0.290427,0.0029891,0,87980.9,-2.20531
101,0.27341,0.05,0,0.277944,0.29096,-8.88E-06,0,0.29096,0.00300625,0,87981,-2.20115
