"U:0","U:1","U:2","k","nut","omega","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.27189,-4.495e-05,0,0.0032478,1.3228e-08,86963,-2.4192,1,0.1563,0.1063,0.05001,0
0.27241,-4.4121e-05,0,0.0032526,1.3177e-08,86963,-2.4171,1,0.1566,0.1066,0.05001,0
0.27291,-4.3391e-05,0,0.0032572,1.3127e-08,86963,-2.4149,1,0.1569,0.1069,0.05001,0
0.27339,-4.2726e-05,0,0.0032616,1.3079e-08,86963,-2.4129,1,0.1572,0.1072,0.05001,0
0.27388,-4.2061e-05,0,0.0032659,1.303e-08,86963,-2.4108,1,0.1575,0.1075,0.05001,0
0.27436,-4.1397e-05,0,0.0032703,1.2982e-08,86963,-2.4087,1,0.1578,0.1078,0.05001,0
0.27484,-4.0732e-05,0,0.0032747,1.2933e-08,86963,-2.4066,1,0.1581,0.1081,0.05001,0
0.27532,-4.0076e-05,0,0.0032791,1.2885e-08,86963,-2.4046,1,0.1584,0.1084,0.05001,0
0.27577,-3.9629e-05,0,0.0032832,1.2839e-08,86963,-2.4026,1,0.1587,0.1087,0.05001,0
0.27622,-3.9182e-05,0,0.0032872,1.2792e-08,86964,-2.4006,1,0.159,0.109,0.05001,0
0.27667,-3.8735e-05,0,0.0032913,1.2746e-08,86964,-2.3987,1,0.1593,0.1093,0.05001,0
0.27712,-3.8288e-05,0,0.0032953,1.27e-08,86964,-2.3967,1,0.1596,0.1096,0.05001,0
0.27757,-3.7841e-05,0,0.0032994,1.2654e-08,86964,-2.3947,1,0.1599,0.1099,0.05001,0
0.278,-3.7394e-05,0,0.0033033,1.2609e-08,86964,-2.3928,1,0.1602,0.1102,0.05001,0
0.27842,-3.6945e-05,0,0.0033071,1.2565e-08,86964,-2.3909,1,0.1605,0.1105,0.05001,0
0.27884,-3.6496e-05,0,0.0033108,1.2521e-08,86964,-2.3891,1,0.1608,0.1108,0.05001,0
0.27925,-3.6047e-05,0,0.0033146,1.2478e-08,86964,-2.3872,1,0.1611,0.1111,0.05001,0
0.27967,-3.5599e-05,0,0.0033184,1.2434e-08,86964,-2.3853,1,0.1614,0.1114,0.05001,0
0.28009,-3.515e-05,0,0.0033221,1.239e-08,86964,-2.3834,1,0.1617,0.1117,0.05001,0
0.28048,-3.4718e-05,0,0.0033257,1.2348e-08,86964,-2.3816,1,0.162,0.112,0.05001,0
0.28087,-3.4291e-05,0,0.0033291,1.2307e-08,86964,-2.3799,1,0.1623,0.1123,0.05001,0
0.28126,-3.3864e-05,0,0.0033326,1.2265e-08,86964,-2.3781,1,0.1626,0.1126,0.05001,0
0.28165,-3.3437e-05,0,0.003336,1.2224e-08,86964,-2.3763,1,0.1629,0.1129,0.05001,0
0.28204,-3.3009e-05,0,0.0033395,1.2182e-08,86964,-2.3745,1,0.1632,0.1132,0.05001,0
0.28242,-3.2581e-05,0,0.0033429,1.2141e-08,86964,-2.3728,1,0.1635,0.1135,0.05001,0
0.28278,-3.2145e-05,0,0.0033461,1.2101e-08,86964,-2.3711,1,0.1638,0.1138,0.05001,0
0.28314,-3.1709e-05,0,0.0033492,1.2062e-08,86964,-2.3694,1,0.1641,0.1141,0.05001,0
0.2835,-3.1273e-05,0,0.0033523,1.2022e-08,86964,-2.3677,1,0.1644,0.1144,0.05001,0
0.28386,-3.0837e-05,0,0.0033555,1.1982e-08,86964,-2.366,1,0.1647,0.1147,0.05001,0
0.28422,-3.0401e-05,0,0.0033586,1.1943e-08,86964,-2.3643,1,0.165,0.115,0.05001,0
0.28457,-3.0061e-05,0,0.0033616,1.1904e-08,86964,-2.3626,1,0.1653,0.1153,0.05001,0
0.28491,-2.9871e-05,0,0.0033645,1.1866e-08,86964,-2.361,1,0.1656,0.1156,0.05001,0
0.28524,-2.968e-05,0,0.0033673,1.1828e-08,86964,-2.3594,1,0.1659,0.1159,0.05001,0
0.28557,-2.949e-05,0,0.0033701,1.179e-08,86964,-2.3578,1,0.1662,0.1162,0.05001,0
0.28591,-2.93e-05,0,0.0033729,1.1752e-08,86964,-2.3562,1,0.1665,0.1165,0.05001,0
0.28624,-2.9109e-05,0,0.0033758,1.1714e-08,86964,-2.3545,1,0.1668,0.1168,0.05001,0
0.28656,-2.8859e-05,0,0.0033784,1.1677e-08,86964,-2.353,1,0.1671,0.1171,0.05001,0
0.28687,-2.8573e-05,0,0.003381,1.1641e-08,86965,-2.3514,1,0.1674,0.1174,0.05001,0
0.28718,-2.8287e-05,0,0.0033835,1.1604e-08,86965,-2.3499,1,0.1677,0.1177,0.05001,0
0.28749,-2.8001e-05,0,0.0033861,1.1568e-08,86965,-2.3484,1,0.168,0.118,0.05001,0
0.2878,-2.7715e-05,0,0.0033886,1.1532e-08,86965,-2.3468,1,0.1683,0.1183,0.05001,0
0.2881,-2.7429e-05,0,0.0033912,1.1495e-08,86965,-2.3453,1,0.1686,0.1186,0.05001,0
0.28839,-2.7021e-05,0,0.0033935,1.146e-08,86965,-2.3438,1,0.1689,0.1189,0.05001,0
0.28868,-2.6586e-05,0,0.0033957,1.1425e-08,86965,-2.3423,1,0.1692,0.1192,0.05001,0
0.28896,-2.6152e-05,0,0.003398,1.139e-08,86965,-2.3409,1,0.1695,0.1195,0.05001,0
0.28925,-2.5717e-05,0,0.0034003,1.1355e-08,86965,-2.3394,1,0.1698,0.1198,0.05001,0
0.28953,-2.5282e-05,0,0.0034026,1.132e-08,86965,-2.3379,1,0.1701,0.1201,0.05001,0
0.28982,-2.4848e-05,0,0.0034048,1.1285e-08,86965,-2.3365,1,0.1704,0.1204,0.05001,0
0.29008,-2.443e-05,0,0.0034069,1.1251e-08,86965,-2.3351,1,0.1707,0.1207,0.05001,0
0.29035,-2.4012e-05,0,0.0034089,1.1218e-08,86965,-2.3337,1,0.171,0.121,0.05001,0
0.29061,-2.3594e-05,0,0.0034109,1.1184e-08,86965,-2.3323,1,0.1713,0.1213,0.05001,0
0.29087,-2.3176e-05,0,0.0034129,1.1151e-08,86965,-2.3309,1,0.1716,0.1216,0.05001,0
0.29113,-2.2758e-05,0,0.0034149,1.1117e-08,86965,-2.3294,1,0.1719,0.1219,0.05001,0
0.29139,-2.235e-05,0,0.0034169,1.1084e-08,86965,-2.3281,1,0.1722,0.1222,0.05001,0
0.29164,-2.2031e-05,0,0.0034187,1.1052e-08,86965,-2.3267,1,0.1725,0.1225,0.05001,0
0.29188,-2.1711e-05,0,0.0034205,1.102e-08,86965,-2.3254,1,0.1728,0.1228,0.05001,0
0.29212,-2.1392e-05,0,0.0034223,1.0987e-08,86965,-2.324,1,0.1731,0.1231,0.05001,0
0.29236,-2.1072e-05,0,0.0034241,1.0955e-08,86965,-2.3227,1,0.1734,0.1234,0.05001,0
0.29261,-2.0753e-05,0,0.0034259,1.0923e-08,86965,-2.3214,1,0.1737,0.1237,0.05001,0
0.29285,-2.0449e-05,0,0.0034276,1.0891e-08,86965,-2.32,1,0.174,0.124,0.05001,0
