Points_0,p,U_0
0.239203,-2.27039,0.133929
0.241197,-2.27408,0.133521
0.243204,-2.27776,0.13309
0.245224,-2.28161,0.132673
0.247257,-2.28555,0.132262
0.249303,-2.28967,0.13187
0.251363,-2.2939,0.131483
0.253436,-2.29824,0.13112
0.255523,-2.30287,0.130762
0.257623,-2.30733,0.130398
0.259738,-2.31201,0.130084
0.261865,-2.31682,0.129787
0.264007,-2.32179,0.129508
0.266163,-2.32695,0.129239
0.268333,-2.33224,0.128972
0.270517,-2.33766,0.128728
0.272715,-2.3433,0.128496
0.274928,-2.34903,0.128258
